Date,Open,High,Low,Close,Volume,Market_close
9/2/2017,809,823,803,819.4,96442,28289.92
8/2/2017,815.15,817.95,806,808.2,69855,28335.16
6/2/2017,835,835,816.25,821.4,47869,28240.52
3/2/2017,825,835,817.1,829.45,34382,28226.61
2/2/2017,812,833.8,810.05,825.7,82725,28141.64
1/2/2017,802,819.5,778.05,814.25,194847,27655.96
31-01-2017,835.45,835.45,787.2,808.85,204502,27849.56
27-01-2017,844,849.65,841.8,844.25,33530,27708.14
25-01-2017,855,856.35,837.8,841.8,64030,27375.58
24-01-2017,847,853.4,831,849.2,152872,27117.34
23-01-2017,835,860,828.05,857.15,92655,27034.5
20-01-2017,837,844.5,833.2,838.5,25596,27264.93
18-01-2017,835,845,835,843.3,28019,27288.17
17-01-2017,829.5,842.85,829,836.4,26314,27238.06
16-01-2017,843.95,844,826.7,830.7,38237,27247.16
13-01-2017,850,857.7,838.8,847.7,76171,27140.41
12/1/2017,829.9,849.6,829.55,845.25,65849,26899.56
11/1/2017,840,844.65,827.45,832.7,40580,26726.55
10/1/2017,841,843.45,834.6,836.15,28370,26759.23
9/1/2017,814.1,848.15,807.25,840.45,75624,26878.24
6/1/2017,834,840,807.75,814.1,81194,26633.13
5/1/2017,864.3,868.95,840.15,844.1,88378,26643.24
4/1/2017,835,863.2,834.3,859.05,97151,26595.45
3/1/2017,830,836.55,824.45,835,28938,26626.46
2/1/2017,825,833.7,823.1,829.3,17834,26366.15
30-12-2016,819.6,830.35,816.7,827.4,46026,26210.68
29-12-2016,807.4,825,806.55,819.6,130866,26213.44
28-12-2016,810,818,804.8,807.35,27834,25807.1
27-12-2016,790,809.5,787.7,803.1,26951,26040.7
26-12-2016,792,797.8,783.95,791,27936,25979.6
23-12-2016,815,815,791.05,794.1,36536,26242.38
22-12-2016,820,822.5,807.4,817.9,38626,26307.98
21-12-2016,833,836.9,816,820.3,43238,26374.7
20-12-2016,825,832,825,829,98498,26489.56
19-12-2016,817,826.7,813.7,824.75,81521,26519.07
16-12-2016,834,834,816,820.55,25214,26602.84
15-12-2016,824.8,840,822,831.75,103209,26697.82
14-12-2016,804.6,822.95,797,819.9,90591,26515.24
13-12-2016,801.15,803,791.7,799.75,24296,26747.18
12/12/2016,795,803,790.3,799.6,796,26694.28
9/12/2016,799.1,805.6,783,801.25,197346,26236.87
8/12/2016,778,798.9,778,795.15,140746,26392.76
7/12/2016,787,788.4,772,784.75,337036,26349.1
6/12/2016,795,801.55,782.6,785,31228,26230.66
5/12/2016,791,800.2,782.85,792.55,24898,26559.92
2/12/2016,804,816,787.2,793.35,54771,26652.81
1/12/2016,803.15,806.4,792,801.7,33434,26394.01
30-11-2016,810.6,810.75,798.95,802.8,30895,26350.17
29-11-2016,810,813.15,800,805.65,37304,26316.34
28-11-2016,804.2,811.85,791.7,803.15,59290,25860.17
25-11-2016,771.7,812,771.05,800.95,140804,26051.81
24-11-2016,763,771.9,753.95,766.15,54453,25960.78
23-11-2016,764.05,767,756,762.75,22301,25765.14
22-11-2016,761.4,766.5,755.6,760.9,24254,26150.24
21-11-2016,765,778.9,756.55,759.15,56107,26227.62
18-11-2016,760.5,779,760.1,762.45,51978,26298.69
17-11-2016,768.8,774.9,756.05,760.2,739200,26304.63
16-11-2016,779,786,764.4,776.3,72953,26818.82
15-11-2016,765,786.05,731.05,768.5,57724,27517.68
11/11/2016,788.15,788.15,755.05,763.6,763,27252.53
10/11/2016,790,805.75,776,788.15,56297,27591.14
9/11/2016,780,796.25,763.05,783.85,74439,27458.99
8/11/2016,815,816,792,808.35,60791,27274.15
7/11/2016,808,824.5,794.5,814.8,97657,27430.28
4/11/2016,763.55,799,763.05,794.2,117409,27527.22
3/11/2016,767.7,769,760.1,762.05,26015,27876.61
2/11/2016,760.55,772,760.55,764.15,47779,27930.21
1/11/2016,768,776,767.15,772.8,29409,27941.51
30-10-2016,770,772.6,765,768,12103,27915.9
28-10-2016,778,781.5,761.65,764.25,314824,27836.51
27-10-2016,790,790,773,774.75,54071,28091.42
24-10-2016,831.05,835.7,808.95,810.7,500242,28129.84
21-10-2016,826,848.7,822,831.05,244467,27984.37
20-10-2016,830.85,831.35,811.7,815.25,66592,28050.88
19-10-2016,835,841.9,826.5,830,50229,27529.97
18-10-2016,805.05,836.35,805.05,834.25,101233,27673.6
17-10-2016,814,814.95,803,809,513523,27643.11
14-10-2016,803,821,796,812.7,63744,28082.34
13-10-2016,813,824,783.1,803.25,58358,28061.14
10/10/2016,806,815.7,802,813.1,33524,28106.21
7/10/2016,801.55,809.95,785.95,805.8,30610,28220.98
6/10/2016,817,820,798,801.3,86630,28334.55
5/10/2016,819.5,822.95,806.25,815.65,55970,28243.29
4/10/2016,813,820.9,810,817.95,54898,27865.96
3/10/2016,802.5,812,794.5,808.8,42639,27827.53
30-09-2016,793.55,803.4,787.35,799.75,61369,28292.81
29-09-2016,798.05,804.45,785.1,792.45,110367,28223.7
28-09-2016,804.95,810,790.5,795.55,24306,28294.28
27-09-2016,787.2,800.7,785,797,34197,28668.22
26-09-2016,797.8,797.8,785.95,787.45,44661,28773.13
23-09-2016,792.7,804,792.6,797.8,92828,28507.42
22-09-2016,796.95,800,785.3,789.4,39154,28523.2
21-09-2016,795,797.5,786.2,789.05,279811,28634.5
20-09-2016,794.45,795,784.95,792.2,53669,28599.03
19-09-2016,790,798,780.5,787.15,665708,28412.89
16-09-2016,782.1,789,774.5,784.9,49761,28372.23
15-09-2016,782,784,775.1,777.85,48091,28353.54
14-09-2016,790,794.5,773.25,775.65,66372,28797.25
12/9/2016,777.05,792.25,770,782.5,127546,29045.28
9/9/2016,774,788.55,773.55,778.25,57001,28926.36
8/9/2016,784.5,784.5,751.95,773.55,1098143,28978.02
7/9/2016,788,806,782.3,786.9,137591,28532.11
6/9/2016,784.8,788.5,775,785.15,38542,28423.48
2/9/2016,785,787.25,779.5,784.3,29048,28452.17
1/9/2016,783,789,779.4,784.35,39069,28343.01
31-08-2016,780,793,774.9,779.2,344688,27902.66
30-08-2016,758.6,775.85,755,773.7,77935,27782.25
25-08-2016,798.35,805,795,798.7,79582,27990.21
24-08-2016,790,798.5,781.55,786.8,188561,27985.54
23-08-2016,766.15,796,766.15,789.15,295378,28077
22-08-2016,784.85,787,765.6,772.25,155421,28123.44
19-08-2016,790,794.1,779.45,780.4,220021,28005.37
18-08-2016,790,791.85,782.3,785.55,209992,28064.61
17-08-2016,799.9,800.5,782.95,786.05,50526,28152.4
16-08-2016,823.9,823.9,786.8,794.95,115784,27859.6
12/8/2016,820,834.85,807,812.35,91023,27774.88
11/8/2016,819.1,829,814.8,824.75,53732,28085.16
10/8/2016,818,820.5,805.7,818.15,46035,28182.57
9/8/2016,822,825,812.55,817.45,64061,28078.35
8/8/2016,820,829.85,811.65,819.05,60140,27714.37
5/8/2016,825.85,831.2,816.1,821.55,53202,27697.51
4/8/2016,830,840,820,823.65,91039,27981.71
3/8/2016,869,869,817.05,825.9,695189,28003.12
2/8/2016,785,805,782.05,800.6,161414,28051.86
1/8/2016,752.5,790.5,752,780.9,1572996,28208.62
29-07-2016,751.2,757.2,746,752.5,44562,28024.33
28-07-2016,756,758.7,745.45,751.15,135142,27976.52
27-07-2016,746,754.9,742.8,753.6,80856,28095.34
21-07-2016,730,730,720.55,724.95,51837,27787.62
20-07-2016,729,732,717,729.4,84170,27746.66
19-07-2016,722,731.45,719.25,730.45,150600,27836.5
18-07-2016,720.5,724.8,715.5,722.5,71247,27942.11
15-07-2016,733,739.5,709.95,717,248375,27815.18
14-07-2016,720,728.55,720,727.5,68963,27808.14
13-07-2016,723,724.55,716.7,719.8,79445,27626.69
12/7/2016,717,721.55,717,719.45,350530,27126.9
11/7/2016,721,726.4,715.1,716.95,98185,27201.49
8/7/2016,718,725.45,716.5,721.75,47784,27166.87
7/7/2016,740,743,715.6,717,131159,27278.76
5/7/2016,750,750,732.3,737.8,69911,27144.91
4/7/2016,732,747.9,732,746.3,68643,26999.72
1/7/2016,735,736.95,729.9,731.4,49382,26740.39
30-06-2016,729.3,735,726.6,730.55,72264,26524.55
29-06-2016,715,727.9,708,726.05,182386,26402.96
28-06-2016,735,737.45,711.2,713.4,202912,26397.71
27-06-2016,734.9,745,722,734.8,92360,27002.22
24-06-2016,746.7,746.7,723,741.95,149146,26765.65
23-06-2016,766.65,771.95,762,768.6,38347,26812.78
20-06-2016,749,779.75,749,769,306790,26525.46
17-06-2016,752,754.85,747.75,752.55,33231,26726.34
16-06-2016,758.9,758.9,741.7,750.4,56903,26395.71
15-06-2016,754,756.6,751,755.15,50452,26396.77
14-06-2016,755,764,744.2,751.75,113354,26635.75
13-06-2016,742,756,742,752.8,3046314,26763.46
10/6/2016,752,757.65,747,749.25,89281,27020.66
7/6/2016,726.55,731.45,722.05,726.8,69889,26843.03
6/6/2016,721.85,728.8,717,724.75,70046,26843.14
3/6/2016,738.7,738.7,720.6,721.85,106734,26713.93
2/6/2016,738,740,715,720.9,180151,26667.96
